"","gene_oid","Locus.Tag","Gene.Symbol","Product.Name","DNA.Seq.Length","AA.Seq.Length","Genome","Enzymes","COGs","COG.Categories","Pfams","TIGRfams","Signal.Peptide","Transmembrane.Helices","Kegg.Category","modulekey"
"12",2582850936,"TE2094DRAFT_00979",NA,"4-oxalocrotonate decarboxylase (EC 4.1.1.77)",789,262,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:4.1.1.77","COG3971","Q","pfam01557","TIGR03218","No","No","Aromatic degradation","M00124"
"13",2582850937,"TE2094DRAFT_00980",NA,"4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)",1032,343,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:4.1.3.39 EC:4.1.3.43","COG0119","E","pfam00682 pfam07836","TIGR03217","No","No","Aromatic degradation","M00033"
"14",2582850938,"TE2094DRAFT_00981",NA,"acetaldehyde dehydrogenase (EC 1.2.1.10)",912,303,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.2.1.10 EC:1.2.1.87","COG4569","Q","pfam01118 pfam09290","TIGR03215","No","No","Aromatic degradation","M00033"
"15",2582850939,"TE2094DRAFT_00982",NA,"2-oxopent-4-enoate hydratase",783,260,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:4.2.1.132 EC:4.2.1.80","COG3971","Q","pfam01557","TIGR03220","No","No","Aromatic degradation","M00033"
"16",2582850940,"TE2094DRAFT_00983",NA,"2-hydroxymuconate semialdehyde hydrolase (EC 3.7.1.9)",834,277,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:3.7.1.9","COG0596","R","pfam12697","","No","No","Aromatic degradation","M00124"
"17",2582850941,"TE2094DRAFT_00984",NA,"2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.32)",1455,484,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.2.1.32 EC:1.2.1.85","COG1012","C","pfam00171","TIGR03216","No","No","Aromatic degradation",""
"18",2582850944,"TE2094DRAFT_00987",NA,"catechol 2,3-dioxygenase (EC 1.13.11.2)",927,308,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.13.11.2","COG2514","R","pfam00903","TIGR03211","No","No","Aromatic degradation","M00124"
"19",2582850947,"TE2094DRAFT_00990",NA,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF",1065,354,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","COG2871","C","pfam00111 pfam00175 pfam00970","","No","No","Aromatic degradation",NA
"20",2582850948,"TE2094DRAFT_00991",NA,"phenol 2-monooxygenase P4 subunit (EC 1.14.13.7)",363,120,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","","","pfam04663","","No","No","Aromatic degradation",NA
"21",2582850949,"TE2094DRAFT_00992",NA,"Methane/Phenol/Toluene Hydroxylase/YHS domain",1548,515,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.14.13.-","","","pfam02332 pfam04945","","No","No","Aromatic degradation","M00028"
"22",2582850950,"TE2094DRAFT_00993",NA,"MmoB/DmpM family",270,89,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","","","pfam02406","","No","No","Aromatic degradation",NA
"23",2582850951,"TE2094DRAFT_00994",NA,"Methane/Phenol/Toluene Hydroxylase",990,329,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","","","pfam02332","","No","No","Aromatic degradation",NA
"24",2582850952,"TE2094DRAFT_00995",NA,"toluene 4-monooxygenase protein E (EC 1.14.13.-)",987,328,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.14.13.-","","","pfam02332","","No","No","Aromatic degradation","M00028"
"25",2582850953,"TE2094DRAFT_00996",NA,"toluene 4-monooxygenase protein D (EC 1.14.13.-)",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.14.13.-","","","pfam02406","","No","No","Aromatic degradation","M00028"
"26",2582850954,"TE2094DRAFT_00997",NA,"toluene 4-monooxygenase protein C (EC 1.14.13.-)",336,111,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"27",2582850955,"TE2094DRAFT_00998",NA,"toluene 4-monooxygenase protein B (EC 1.14.13.-)",300,99,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.14.13.-","","","pfam06234","","No","No","Aromatic degradation","M00028"
"28",2582850956,"TE2094DRAFT_00999",NA,"toluene 4-monooxygenase protein A (EC 1.14.13.-)",1506,501,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:1.14.13.-","","","pfam02332 pfam04945","","No","No","Aromatic degradation","M00028"
"29",2582851406,"TE2094DRAFT_01449",NA,"Uncharacterized protein, 4-oxalocrotonate tautomerase homolog",390,129,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094","EC:5.3.2.6","COG1942","R","pfam01361","","No","No","Aromatic degradation","M00124"
"30",2582852238,"TE211DRAFT_00023",NA,"Alcohol dehydrogenase, class IV",1131,376,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.211","EC:1.1.1.1","COG1454","C","pfam00465","","No","No","Aromatic degradation","M00555"
"31",2582855235,"TE2167DRAFT_00608",NA,"Uncharacterized protein, 4-oxalocrotonate tautomerase homolog",183,60,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2167","EC:5.3.2.6","COG1942","R","pfam01361","TIGR00013","No","No","Aromatic degradation","M00124"
"32",2582858049,"TE2493DRAFT_00485",NA,"Alcohol dehydrogenase, class IV",1098,366,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2493","EC:1.1.1.1","COG1454","C","pfam00465","","No","No","Aromatic degradation","M00555"
"33",2595264961,"TE02668DRAFT_00124",NA,"Alcohol dehydrogenase, class IV",1161,386,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2668.v2","EC:1.1.1.1","COG1454","C","pfam00465","","No","No","Aromatic degradation","M00555"
"34",2595265203,"TE02668DRAFT_00366",NA,"4-oxalocrotonate tautomerase family enzyme",195,64,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2668.v2","EC:5.3.2.6","COG1942","R","pfam01361","TIGR00013","No","No","Aromatic degradation","M00124"
"35",2595265417,"TE02668DRAFT_00580",NA,"2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases",1608,535,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2668.v2","EC:1.14.13.127","COG0654","H C","pfam01494","","No","No","Aromatic degradation","M00545"
"36",2595265577,"TE02668DRAFT_00740",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2668.v2","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"37",2582862856,"TE2754DRAFT_00335",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",312,103,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2754","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"38",2582863344,"TE2754DRAFT_00824",NA,"Alcohol dehydrogenase, class IV",1179,392,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2754","EC:1.1.1.1","COG1454","C","pfam00465","","No","No","Aromatic degradation","M00555"
"39",2582863423,"TE2754DRAFT_00903",NA,"Zn-dependent alcohol dehydrogenases",1059,352,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2754","EC:1.1.1.1","COG1064","R","pfam00107 pfam08240","","No","No","Aromatic degradation","M00555"
"40",2582863980,"TE2973DRAFT_00016",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2973","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"41",2582865505,"TE3083DRAFT_00457",NA,"Protocatechuate 3,4-dioxygenase beta subunit",708,235,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3083","EC:1.13.11.3","COG3485","Q","pfam00775","","No","Yes","Aromatic degradation",NA
"42",2582866568,"TE3207DRAFT_00120",NA,"NAD-dependent aldehyde dehydrogenases",1428,476,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3207","EC:1.2.1.4","COG1012","C","pfam00171","","No","No","Aromatic degradation",NA
"43",2582866654,"TE3207DRAFT_00206",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",312,103,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3207","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"44",2582866795,"TE3207DRAFT_00347",NA,"NAD-dependent aldehyde dehydrogenases",1434,478,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3207","EC:1.2.1.4","COG1012","C","pfam00171","","No","No","Aromatic degradation",NA
"45",2582867795,"TE3256DRAFT_00008",NA,"oxidoreductase, Rxyl_3153 family",1149,382,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3256","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","TIGR03989","No","No","Aromatic degradation","M00555"
"46",2582867826,"TE3256DRAFT_00039",NA,"Lactoylglutathione lyase and related lyases",927,308,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3256","EC:1.13.11.39","COG0346","E","pfam00903","TIGR03213","No","No","Aromatic degradation","M00124"
"47",2582868918,"TE3256DRAFT_01131",NA,"Predicted flavoprotein involved in K+ transport",1785,594,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3256","EC:1.14.13.22","COG2072","P","pfam13738","","No","No","Aromatic degradation",NA
"48",2582869045,"TE3256DRAFT_01258",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3256","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"49",2582869384,"TE3256DRAFT_01597",NA,"Zn-dependent alcohol dehydrogenases, class III",1110,369,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3256","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","","No","No","Aromatic degradation","M00555"
"50",2582870273,"TE3475DRAFT_00602",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",318,105,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3475","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"51",2582870799,"TE3838DRAFT_00095",NA,"Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)",855,284,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:3.1.1.24","COG0596","R","pfam12697","","No","No","Aromatic degradation","M00124"
"52",2582870982,"TE3838DRAFT_00278",NA,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",930,309,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:5.3.3.10","COG0179","Q","pfam01557","","No","No","Aromatic degradation","M00533"
"53",2582871043,"TE3838DRAFT_00339",NA,"Gluconolactonase",933,310,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:3.1.1.17","COG3386","G","pfam08450","","No","No","Aromatic degradation","M00124"
"54",2582871215,"TE3838DRAFT_00511",NA,"Probable taurine catabolism dioxygenase",867,288,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:1.14.11.-","COG2175","Q","pfam02668","","No","No","Aromatic degradation",NA
"55",2582871684,"TE3838DRAFT_00980",NA,"Uncharacterized protein, 4-oxalocrotonate tautomerase homolog",186,61,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:5.3.2.6","COG1942","R","pfam01361","TIGR00013","No","No","Aromatic degradation","M00124"
"56",2582871712,"TE3838DRAFT_01010",NA,"hypothetical protein",624,207,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:4.1.1.44","","","","","No","No","Aromatic degradation",NA
"57",2582871830,"TE3838DRAFT_01128",NA,"Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",798,265,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:4.1.1.-","COG0235","G","pfam00596","","Yes","No","Aromatic degradation","M00124"
"58",2582871924,"TE3838DRAFT_01222",NA,"3-oxoadipate enol-lactonase",816,271,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:3.1.1.24","COG0596","R","pfam12697","TIGR02427","No","No","Aromatic degradation","M00124"
"59",2582872368,"TE3838DRAFT_01667",NA,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",1005,334,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.3838","EC:1.1.1.1","COG1063","E R","pfam00107 pfam08240","TIGR01202","No","No","Aromatic degradation","M00555"
"60",2582872806,"TE4163DRAFT_00232",NA,"Zn-dependent alcohol dehydrogenases, class III",1116,371,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4163","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","","No","No","Aromatic degradation","M00555"
"61",2582873095,"TE4163DRAFT_00521",NA,"Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit",375,124,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4163","EC:4.1.1.44","COG0599","S","pfam02627","","No","No","Aromatic degradation",NA
"62",2582873122,"TE4163DRAFT_00548",NA,"oxidoreductase, Rxyl_3153 family",1146,381,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4163","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","TIGR03989","No","No","Aromatic degradation","M00555"
"63",2582873607,"TE4163DRAFT_01033",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4163","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"64",2582874391,"TE4208DRAFT_00420",NA,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",1023,340,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4208","EC:1.1.1.1","COG1063","E R","pfam00107 pfam08240","TIGR01202","No","No","Aromatic degradation","M00555"
"65",2582874935,"TE4208DRAFT_00964",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",324,107,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4208","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"66",2582876168,"TE4548DRAFT_00001",NA,"4-hydroxybenzoate 3-monooxygenase",1194,397,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.14.13.2","COG0654","H C","pfam01494","TIGR02360","No","No","Aromatic degradation",NA
"67",2582876205,"TE4548DRAFT_00038",NA,"benzoyl-CoA reductase (2-electron) delta subunit (EC 1.3.99.15)",687,229,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.8","","","pfam01869","TIGR00241","No","No","Aromatic degradation","M00541"
"68",2582876206,"TE4548DRAFT_00039",NA,"benzoyl-CoA reductase (2-electron) beta subunit (EC 1.3.99.15)",1305,434,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.8","COG1775","E","pfam06050","TIGR03191","No","No","Aromatic degradation","M00541"
"69",2582876207,"TE4548DRAFT_00040",NA,"benzoyl-CoA reductase (2-electron) gamma subunit (EC 1.3.99.15)",1140,379,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.8","COG1775","E","pfam06050","TIGR03190","No","No","Aromatic degradation","M00541"
"70",2582876270,"TE4548DRAFT_00104",NA,"4-hydroxybenzoyl-CoA reductase gamma subunit (EC 1.3.99.20)",480,159,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.9","COG2080","C","pfam00111 pfam01799","TIGR03193","No","No","Aromatic degradation",NA
"71",2582876271,"TE4548DRAFT_00105",NA,"4-hydroxybenzoyl-CoA reductase alpha subunit (EC 1.3.99.20)",2358,785,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.9","COG1529","C","pfam01315 pfam02738","TIGR03194","No","No","Aromatic degradation",NA
"72",2582876272,"TE4548DRAFT_00106",NA,"4-hydroxybenzoyl-CoA reductase beta subunit (EC 1.3.99.20)",978,325,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.9","COG1319","C","pfam00941 pfam03450","TIGR03195","No","No","Aromatic degradation",NA
"73",2582877289,"TE4548DRAFT_01124",NA,"Predicted dehydrogenases and related proteins",960,319,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.1.1.312","COG0673","R","pfam01408","","No","No","Aromatic degradation","M00533"
"74",2582878107,"TE4548DRAFT_01943",NA,"benzoyl-CoA reductase (2-electron) alpha subunit (EC 1.3.99.15)",918,305,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.3.7.8","","","pfam01869","TIGR03192 TIGR00241","No","No","Aromatic degradation","M00541"
"75",2582878113,"TE4548DRAFT_01949",NA,"Enoyl-CoA hydratase/carnithine racemase",774,257,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:4.2.1.100","COG1024","I","pfam00378","TIGR03189","No","No","Aromatic degradation","M00541"
"76",2582878302,"TE4548DRAFT_02138",NA,"Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit",378,125,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:4.1.1.44","COG0599","S","pfam02627","TIGR02425","No","No","Aromatic degradation",NA
"77",2582878316,"TE4548DRAFT_02152",NA,"6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase (EC 1.1.1.-)",801,266,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:1.1.1.368","COG1064","R","pfam00107","TIGR03201","No","No","Aromatic degradation","M00541"
"78",2582878317,"TE4548DRAFT_02153",NA,"6-ketocyclohex-1-ene-1-carbonyl-CoA hydrolase (EC 3.7.1.-)",1131,376,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4548","EC:3.7.1.-","","","pfam00378","TIGR03200","No","No","Aromatic degradation","M00418"
"79",2582879508,"TE4605DRAFT_00224",NA,"Alcohol dehydrogenase, class IV",1119,372,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:1.1.1.1","COG1454","C","pfam00465","","No","No","Aromatic degradation","M00555"
"80",2582880668,"TE4605DRAFT_01385",NA,"Zn-dependent alcohol dehydrogenases, class III",1116,371,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","TIGR03989","No","No","Aromatic degradation","M00555"
"81",2582881492,"TE4605DRAFT_02209",NA,"NAD-dependent aldehyde dehydrogenases",1584,527,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:1.2.1.4","COG1012","C","pfam00171","","No","No","Aromatic degradation",NA
"82",2582881603,"TE4605DRAFT_02320",NA,"SMP-30/Gluconolaconase/LRE-like region",1146,381,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:3.1.1.17","","","pfam08450","","Yes","No","Aromatic degradation","M00124"
"83",2582881638,"TE4605DRAFT_02355",NA,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",1026,341,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:1.1.1.1","COG1063","E R","pfam00107 pfam08240","TIGR01202","No","No","Aromatic degradation","M00555"
"84",2582883617,"TE4605DRAFT_04334",NA,"Gluconolactonase",1029,342,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:3.1.1.17","COG3386","G","pfam08450","","Yes","No","Aromatic degradation","M00124"
"85",2582883664,"TE4605DRAFT_04381",NA,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",993,330,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.4605","EC:1.1.1.1","COG1063","E R","pfam08240","TIGR01202","No","No","Aromatic degradation","M00555"
"86",2582883780,"TE5136DRAFT_00116",NA,"S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase",1110,369,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5136","EC:1.1.1.1 EC:1.1.1.284","COG1062","C","pfam00107 pfam08240","TIGR02818","No","No","Aromatic degradation","M00555"
"87",2582884329,"TE5136DRAFT_00665",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",315,104,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5136","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"88",2582887406,"TE5144DRAFT_01080",NA,"Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases",333,110,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5144","","COG2146","P R","pfam00355","","No","No","Aromatic degradation",NA
"89",2582889512,"TE5243DRAFT_01307",NA,"Protocatechuate 3,4-dioxygenase beta subunit",1005,334,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5243","EC:1.13.11.1","COG3485","Q","pfam00775 pfam04444","","No","No","Aromatic degradation","M00124"
"90",2582889778,"TE5243DRAFT_01573",NA,"Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",885,294,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5243","EC:4.1.1.-","COG0235","G","pfam00596","","Yes","Yes","Aromatic degradation","M00124"
"91",2582889985,"TE5243DRAFT_01780",NA,"gluconolactonase (EC 3.1.1.17)",1056,351,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5243","EC:3.1.1.17","COG3386","G","pfam08450","","Yes","No","Aromatic degradation","M00124"
"92",2582890050,"TE5243DRAFT_01845",NA,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",954,317,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.5243","EC:1.1.1.1","COG1063","E R","pfam00107 pfam08240","","No","No","Aromatic degradation","M00555"
"93",2582890805,"TE567DRAFT_00068",NA,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",930,309,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:5.3.3.10","COG0179","Q","pfam01557","","No","No","Aromatic degradation","M00533"
"94",2582890845,"TE567DRAFT_00108",NA,"Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",801,266,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:4.1.1.-","COG0235","G","pfam00596","","Yes","No","Aromatic degradation","M00124"
"95",2582891092,"TE567DRAFT_00355",NA,"putative quinone oxidoreductase, YhdH/YhfP family",984,327,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:1.1.1.1","COG0604","C R","pfam00107 pfam08240","TIGR02823","No","No","Aromatic degradation","M00555"
"96",2582891154,"TE567DRAFT_00417",NA,"hypothetical protein",624,207,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:4.1.1.44","","","","","Yes","No","Aromatic degradation",NA
"97",2582891195,"TE567DRAFT_00458",NA,"gluconolactonase (EC 3.1.1.17)",918,305,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:3.1.1.17","COG3386","G","pfam08450","","No","No","Aromatic degradation","M00124"
"98",2582891309,"TE567DRAFT_00572",NA,"NAD-dependent aldehyde dehydrogenases",1566,521,"Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.567","EC:1.2.1.4","COG1012","C","pfam00171","","No","No","Aromatic degradation",NA
