"SAMPLE","PWY_NAME","PWY_COMMON_NAME","RXN","ORF","coverage"
"m2582580512","PWY-5481","pyruvate fermentation to lactate","L-LACTATE-DEHYDROGENASE-RXN","m2582580512_119_0",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","ACETOLACTREDUCTOISOM-RXN","m2582580512_100_3",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","DIHYDROXYISOVALDEHYDRAT-RXN","m2582580512_23_0",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","ACETOLACTSYN-RXN","m2582580512_308_1",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","DIHYDROXYISOVALDEHYDRAT-RXN","m2582580512_61_13",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","ACETOLACTSYN-RXN","m2582580512_179_0",100
"m2582580512","VALSYN-PWY","L-valine biosynthesis","BRANCHED-CHAINAMINOTRANSFERVAL-RXN","m2582580512_268_13",100
"m2582580512","PWY0-1477","ethanolamine utilization","ETHAMLY-RXN","m2582580512_218_2",100
"m2582580512","PROSYN-PWY","L-proline biosynthesis I","GLUTKIN-RXN","m2582580512_186_0",75
"m2582580512","PROSYN-PWY","L-proline biosynthesis I","PYRROLINECARBREDUCT-RXN","m2582580512_160_2",75
"m2582580512","PROSYN-PWY","L-proline biosynthesis I","GLUTSEMIALDEHYDROG-RXN","m2582580512_213_7",75
"m2582580512","PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","DTDPKIN-RXN","m2582580512_205_4",100
"m2582580512","PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","DTMPKI-RXN","m2582580512_286_4",100
"m2582580512","PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","RXN-7913","m2582580512_8_4",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","RXN0-5224","m2582580512_140_9",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","PEPCARBOX-RXN","m2582580512_198_1",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","PEPCARBOX-RXN","m2582580512_39_0",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","RXN0-5224","m2582580512_86_8",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","RXN0-5224","m2582580512_22_10",100
"m2582580512","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)","RXN0-5224","m2582580512_112_1",100
"m2582580512","PWY0-1299","arginine dependent acid resistance","ARGDECARBOX-RXN","m2582580512_112_0",100
"m2582580512","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580512_379_4",75
"m2582580512","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ADENYLOSUCCINATE-SYNTHASE-RXN","m2582580512_163_0",75
"m2582580512","PWY-7219","adenosine ribonucleotides de novo biosynthesis","AMPSYN-RXN","m2582580512_266_4",75
"m2582580512","PWY-6164","3-dehydroquinate biosynthesis I","DAHPSYN-RXN","m2582580512_292_2",100
"m2582580512","PWY-6164","3-dehydroquinate biosynthesis I","DAHPSYN-RXN","m2582580512_79_3",100
"m2582580512","PWY-6164","3-dehydroquinate biosynthesis I","3-DEHYDROQUINATE-SYNTHASE-RXN","m2582580512_271_1",100
"m2582580512","HOMOSERSYN-PWY","L-homoserine biosynthesis","ASPARTATEKIN-RXN","m2582580512_317_9",100
"m2582580512","HOMOSERSYN-PWY","L-homoserine biosynthesis","ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN","m2582580512_132_9",100
"m2582580512","HOMOSERSYN-PWY","L-homoserine biosynthesis","HOMOSERDEHYDROG-RXN","m2582580512_278_7",100
"m2582580512","HOMOSERSYN-PWY","L-homoserine biosynthesis","HOMOSERDEHYDROG-RXN","m2582580512_282_0",100
"m2582580512","PWY-5951","(R,R)-butanediol biosynthesis","RR-BUTANEDIOL-DEHYDROGENASE-RXN","m2582580512_287_2",100
"m2582580512","PWY3O-246","(R,R)-butanediol degradation","RR-BUTANEDIOL-DEHYDROGENASE-RXN","m2582580512_287_2",100
"m2582580512","PWY-5461","betanidin degradation","RXN-8635","m2582580512_253_0",100
"m2582580512","PWY-5461","betanidin degradation","RXN-8635","m2582580512_253_1",100
"m2582580512","PWY-5436","L-threonine degradation IV","THREONINE-ALDOLASE-RXN","m2582580512_50_4",100
"m2582580512","PWY-5436","L-threonine degradation IV","ACETALD-DEHYDROG-RXN","m2582580512_306_2",100
"m2582580512","ASPARAGINE-BIOSYNTHESIS","L-asparagine biosynthesis I","ASNSYNB-RXN","m2582580512_128_5",100
"m2582580512","PWY-7179","purine deoxyribonucleosides degradation I","DEOXYINOPHOSPHOR-RXN","m2582580512_260_5",75
"m2582580512","ASPARTATE-DEG1-PWY","L-aspartate degradation I","ASPAMINOTRANS-RXN","m2582580512_41_7",100
"m2582580512","ASPARTATE-DEG1-PWY","L-aspartate degradation I","ASPAMINOTRANS-RXN","m2582580512_251_4",100
"m2582580512","ASPARTATE-DEG1-PWY","L-aspartate degradation I","ASPAMINOTRANS-RXN","m2582580512_70_1",100
"m2582580512","GLNSYN-PWY","L-glutamine biosynthesis I","GLUTAMINESYN-RXN","m2582580512_68_4",100
"m2582580512","GLNSYN-PWY","L-glutamine biosynthesis I","GLUTAMINESYN-RXN","m2582580512_68_5",100
"m2582580512","PWY-6124","inosine-5-phosphate biosynthesis II","IMPCYCLOHYDROLASE-RXN","m2582580512_229_2",80
"m2582580512","PWY-6124","inosine-5-phosphate biosynthesis II","AIRCARBOXY-RXN","m2582580512_115_6",80
"m2582580512","PWY-6124","inosine-5-phosphate biosynthesis II","AICARSYN-RXN","m2582580512_266_4",80
"m2582580512","PWY-6124","inosine-5-phosphate biosynthesis II","AIRCARBOXY-RXN","m2582580512_115_7",80
"m2582580512","PWY-6124","inosine-5-phosphate biosynthesis II","SAICARSYN-RXN","m2582580512_44_1",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","ENOYL-ACP-REDUCT-NADH-RXN","m2582580512_281_1",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-HYDROXYDECANOYL-ACP-DEHYDR-RXN","m2582580512_315_7",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","ENOYL-ACP-REDUCT-NADH-RXN","m2582580512_227_2",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-HYDROXYDECANOYL-ACP-DEHYDR-RXN","m2582580512_53_2",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-REDUCT-RXN","m2582580512_371_1",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-SYNTH-RXN","m2582580512_350_4",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-REDUCT-RXN","m2582580512_315_8",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-REDUCT-RXN","m2582580512_113_2",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-REDUCT-RXN","m2582580512_268_1",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","3-OXOACYL-ACP-REDUCT-RXN","m2582580512_378_4",80
"m2582580512","FASYN-ELONG-PWY","fatty acid elongation -- saturated","ENOYL-ACP-REDUCT-NADH-RXN","m2582580512_329_1",80
"m2582580512","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLUC1PADENYLTRANS-RXN","m2582580512_30_1",75
"m2582580512","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLUC1PADENYLTRANS-RXN","m2582580512_161_6",75
"m2582580512","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLYCOGENSYN-RXN","m2582580512_168_6",75
"m2582580512","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLYCOGEN-BRANCH-RXN","m2582580512_168_7",75
"m2582580512","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","2OXOGLUTDECARB-RXN","m2582580512_318_6",100
"m2582580512","PWY0-1275","lipoate biosynthesis and incorporation II","RXN0-5098","m2582580512_106_4",100
"m2582580512","PWY0-1275","lipoate biosynthesis and incorporation II","RXN0-949","m2582580512_286_5",100
"m2582580512","PWY-5026","indole-3-acetate biosynthesis V (bacteria and fungi)","RXN-1404","m2582580512_165_0",100
"m2582580512","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","GLYRIBONUCSYN-RXN","m2582580512_211_1",80
"m2582580512","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","GARTRANSFORMYL2-RXN","m2582580512_267_0",80
"m2582580512","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","PRPPAMIDOTRANS-RXN","m2582580512_50_6",80
"m2582580512","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","FGAMSYN-RXN","m2582580512_287_3",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","ACONITATEHYDR-RXN","m2582580512_187_3",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","SUCCCOASYN-RXN","m2582580512_79_4",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580512_271_3",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","2OXOGLUTARATEDEH-RXN","m2582580512_318_6",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","MALATE-DEH-RXN","m2582580512_243_0",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","ISOCITDEH-RXN","m2582580512_208_4",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","CITSYN-RXN","m2582580512_346_3",80
"m2582580512","TCA","TCA cycle I (prokaryotic)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580512_271_2",80
"m2582580512","PWY0-1021","L-alanine biosynthesis III","RXN0-308","m2582580512_149_6",100
"m2582580512","PWY0-1021","L-alanine biosynthesis III","RXN0-308","m2582580512_229_6",100
"m2582580512","PWY0-1021","L-alanine biosynthesis III","RXN0-308","m2582580512_208_8",100
"m2582580512","PWY0-1021","L-alanine biosynthesis III","RXN0-308","m2582580512_367_2",100
"m2582580512","PWY0-1021","L-alanine biosynthesis III","RXN0-308","m2582580512_221_1",100
"m2582580512","PWY-5350","thiosulfate disproportionation III (rhodanese)","THIOSULFATE-SULFURTRANSFERASE-RXN","m2582580512_131_1",100
"m2582580512","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580512_58_2",100
"m2582580512","GLYSYN-ALA-PWY","glycine biosynthesis III","ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN","m2582580512_170_5",100
"m2582580512","PWY-7346","UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)","UGD-RXN","m2582580512_201_5",100
"m2582580512","PWY1-2","L-alanine degradation IV","ALANINE-DEHYDROGENASE-RXN","m2582580512_208_3",100
"m2582580512","PWY-4381","fatty acid biosynthesis initiation I","ACETYL-COA-CARBOXYLTRANSFER-RXN","m2582580512_337_7",100
"m2582580512","PWY-4381","fatty acid biosynthesis initiation I","2.3.1.180-RXN","m2582580512_32_3",100
"m2582580512","PWY-4381","fatty acid biosynthesis initiation I","ACETYL-COA-CARBOXYLTRANSFER-RXN","m2582580512_328_2",100
"m2582580512","PWY-4381","fatty acid biosynthesis initiation I","MALONYL-COA-ACP-TRANSACYL-RXN","m2582580512_350_6",100
"m2582580512","PWY-4381","fatty acid biosynthesis initiation I","ACETYL-COA-CARBOXYLTRANSFER-RXN","m2582580512_56_4",100
"m2582580512","BGALACT-PWY","lactose degradation III","BETAGALACTOSID-RXN","m2582580512_199_4",100
"m2582580512","GLUTAMINDEG-PWY","L-glutamine degradation I","GLUTAMIN-RXN","m2582580512_160_3",100
"m2582580512","GLUTAMINDEG-PWY","L-glutamine degradation I","GLUTAMIN-RXN","m2582580512_128_5",100
"m2582580512","GLUTAMINDEG-PWY","L-glutamine degradation I","GLUTAMIN-RXN","m2582580512_298_7",100
"m2582580512","GLUTAMINDEG-PWY","L-glutamine degradation I","GLUTAMIN-RXN","m2582580512_256_8",100
"m2582580512","TRPSYN-PWY","L-tryptophan biosynthesis","PRTRANS-RXN","m2582580512_244_2",83.3333333333333
"m2582580512","TRPSYN-PWY","L-tryptophan biosynthesis","RXN0-2382","m2582580512_120_10",83.3333333333333
"m2582580512","TRPSYN-PWY","L-tryptophan biosynthesis","IGPSYN-RXN","m2582580512_229_4",83.3333333333333
"m2582580512","TRPSYN-PWY","L-tryptophan biosynthesis","RXN0-2382","m2582580512_120_9",83.3333333333333
"m2582580512","TRPSYN-PWY","L-tryptophan biosynthesis","ANTHRANSYN-RXN","m2582580512_196_8",83.3333333333333
"m2582580512","PWY-6609","adenine and adenosine salvage III","INOPHOSPHOR-RXN","m2582580512_260_5",75
"m2582580512","PWY-6609","adenine and adenosine salvage III","ADENODEAMIN-RXN","m2582580512_74_4",75
"m2582580512","PWY-6894","thiamine diphosphate biosynthesis I (E. coli)","THI-P-KIN-RXN","m2582580512_98_0",100
"m2582580512","PWY-6894","thiamine diphosphate biosynthesis I (E. coli)","RXN-12611","m2582580512_20_0",100
"m2582580512","PWY0-662","PRPP biosynthesis I","PRPPSYN-RXN","m2582580512_133_3",100
"m2582580512","PWY0-662","PRPP biosynthesis I","PRPPSYN-RXN","m2582580512_190_3",100
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","METHIONINE--TRNA-LIGASE-RXN","m2582580512_122_14",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","PHENYLALANINE--TRNA-LIGASE-RXN","m2582580512_149_0",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","PROLINE--TRNA-LIGASE-RXN","m2582580512_70_5",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","PHENYLALANINE--TRNA-LIGASE-RXN","m2582580512_254_4",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","GLURS-RXN","m2582580512_208_6",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","TYROSINE--TRNA-LIGASE-RXN","m2582580512_197_1",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","ASPARTATE--TRNA-LIGASE-RXN","m2582580512_219_2",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","TRYPTOPHAN--TRNA-LIGASE-RXN","m2582580512_316_1",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","GLYCINE--TRNA-LIGASE-RXN","m2582580512_244_6",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","LYSINE--TRNA-LIGASE-RXN","m2582580512_314_6",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","ARGININE--TRNA-LIGASE-RXN","m2582580512_340_0",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","LEUCINE--TRNA-LIGASE-RXN","m2582580512_138_2",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","VALINE--TRNA-LIGASE-RXN","m2582580512_263_3",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","ISOLEUCINE--TRNA-LIGASE-RXN","m2582580512_128_0",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","ALANINE--TRNA-LIGASE-RXN","m2582580512_143_3",76.1904761904762
"m2582580512","TRNA-CHARGING-PWY","tRNA charging","SERINE--TRNA-LIGASE-RXN","m2582580512_346_2",76.1904761904762
"m2582580512","PWY-6683","sulfate reduction III (assimilatory)","SULFITE-REDUCT-RXN","m2582580512_211_0",100
"m2582580512","PWY-6683","sulfate reduction III (assimilatory)","RXN-12019","m2582580512_87_1",100
"m2582580512","PWY-6683","sulfate reduction III (assimilatory)","SULFATE-ADENYLYLTRANS-RXN","m2582580512_3_4",100
"m2582580512","PWY-6683","sulfate reduction III (assimilatory)","RXN-12019","m2582580512_117_4",100
"m2582580512","PWY0-461","L-lysine degradation I","LYSDECARBOX-RXN","m2582580512_275_4",100
"m2582580512","PWY0-461","L-lysine degradation I","LYSDECARBOX-RXN","m2582580512_282_3",100
"m2582580512","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLGLUTKIN-RXN","m2582580512_295_5",80
"m2582580512","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLORNTRANSAM-RXN","m2582580512_56_7",80
"m2582580512","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLORNTRANSAM-RXN","m2582580512_295_6",80
"m2582580512","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLORNDEACET-RXN","m2582580512_274_3",80
"m2582580512","GLUTORN-PWY","L-ornithine biosynthesis I","N-ACETYLTRANSFER-RXN","m2582580512_143_1",80
"m2582580513","GLUTAMATE-DEG1-PWY","L-glutamate degradation I","GLUTAMATE-DEHYDROGENASE-RXN","m2582580513_16_7",100
"m2582580513","GLUTAMATE-DEG1-PWY","L-glutamate degradation I","GLUTAMATE-DEHYDROGENASE-RXN","m2582580513_78_0",100
"m2582580513","PWY-5350","thiosulfate disproportionation III (rhodanese)","THIOSULFATE-SULFURTRANSFERASE-RXN","m2582580513_131_11",100
"m2582580513","PWY-6898","thiamine salvage III","THIAMIN-PYROPHOSPHOKINASE-RXN","m2582580513_82_12",100
"m2582580513","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580513_106_0",100
"m2582580513","PWY-6038","citrate degradation","CITTRANS-RXN","m2582580513_154_6",100
"m2582580513","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580513_96_16",100
"m2582580513","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1133","m2582580513_76_7",100
"m2582580513","ASPARTATESYN-PWY","L-aspartate biosynthesis","ASPAMINOTRANS-RXN","m2582580513_95_2",100
"m2582580513","ASPARTATE-DEG1-PWY","L-aspartate degradation I","ASPAMINOTRANS-RXN","m2582580513_95_2",100
"m2582580514","PWY-5122","geranyl diphosphate biosynthesis","GPPSYN-RXN","m2582580514_17_13",100
"m2582580514","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","2OXOGLUTDECARB-RXN","m2582580514_33_7",100
"m2582580514","GLNSYN-PWY","L-glutamine biosynthesis I","GLUTAMINESYN-RXN","m2582580514_40_2",100
"m2582580514","PWY-7179","purine deoxyribonucleosides degradation I","DEOXYINOPHOSPHOR-RXN","m2582580514_42_5",75
"m2582580514","PWY1-2","L-alanine degradation IV","ALANINE-DEHYDROGENASE-RXN","m2582580514_72_5",100
"m2582580514","GLYSYN-PWY","glycine biosynthesis I","GLYOHMETRANS-RXN","m2582580514_72_3",100
"m2582580514","PWY-7344","UDP-D-galactose biosynthesis","UDPGLUCEPIM-RXN","m2582580514_72_1",100
"m2582580514","PWY-7344","UDP-D-galactose biosynthesis","UDPGLUCEPIM-RXN","m2582580514_75_13",100
"m2582580514","SAM-PWY","S-adenosyl-L-methionine biosynthesis","S-ADENMETSYN-RXN","m2582580514_42_0",100
"m2582580514","PWY-7193","pyrimidine ribonucleosides salvage I","CYTIDEAM2-RXN","m2582580514_50_3",100
"m2582580514","PWY-7193","pyrimidine ribonucleosides salvage I","CYTIDEAM2-RXN","m2582580514_35_5",100
"m2582580514","PWY-7193","pyrimidine ribonucleosides salvage I","URIDINEKIN-RXN","m2582580514_47_5",100
"m2582580515","PWY-6012-1","acyl carrier protein activation","HOLO-ACP-SYNTH-RXN","m2582580515_103_2",100
"m2582580515","PWY-6184","methylsalicylate degradation","RXN-10078","m2582580515_120_3",100
"m2582580515","PWY-6183","salicylate degradation I","SALICYLATE-1-MONOOXYGENASE-RXN","m2582580515_120_3",100
"m2582580515","PWY-5086","chlorophyll a biosynthesis I","RXN1F-66","m2582580515_126_4",100
"m2582580515","PWY-7344","UDP-D-galactose biosynthesis","UDPGLUCEPIM-RXN","m2582580515_174_3",100
"m2582580515","PWY66-366","flavin biosynthesis IV (mammalian)","FADSYN-RXN","m2582580515_178_2",100
"m2582580515","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN0-1147","m2582580515_79_1",100
"m2582580515","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","2OXOGLUTDECARB-RXN","m2582580515_138_4",100
"m2582580515","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN0-1147","m2582580515_124_1",100
"m2582580515","PWY-5849","menaquinol-6 biosynthesis","RXN-9220","m2582580515_228_12",100
"m2582580515","PWY-5849","menaquinol-6 biosynthesis","RXN-9220","m2582580515_214_7",100
"m2582580515","PWY-5849","menaquinol-6 biosynthesis","RXN-9220","m2582580515_112_1",100
"m2582580515","SERSYN-PWY","L-serine biosynthesis","RXN0-5114","m2582580515_206_5",100
"m2582580515","SERSYN-PWY","L-serine biosynthesis","PGLYCDEHYDROG-RXN","m2582580515_42_14",100
"m2582580515","SERSYN-PWY","L-serine biosynthesis","PGLYCDEHYDROG-RXN","m2582580515_37_7",100
"m2582580515","SERSYN-PWY","L-serine biosynthesis","PSERTRANSAM-RXN","m2582580515_47_9",100
"m2582580515","GLUTAMINDEG-PWY","L-glutamine degradation I","GLUTAMIN-RXN","m2582580515_40_7",100
"m2582580515","PWY-5844","menaquinol-9 biosynthesis","RXN-9205","m2582580515_214_7",100
"m2582580515","PWY-5844","menaquinol-9 biosynthesis","RXN-9205","m2582580515_112_1",100
"m2582580515","PWY-5844","menaquinol-9 biosynthesis","RXN-9205","m2582580515_228_12",100
"m2582580515","MENAQUINONESYN-PWY","menaquinol-8 biosynthesis","ADOMET-DMK-METHYLTRANSFER-RXN","m2582580515_214_7",100
"m2582580515","MENAQUINONESYN-PWY","menaquinol-8 biosynthesis","ADOMET-DMK-METHYLTRANSFER-RXN","m2582580515_112_1",100
"m2582580515","MENAQUINONESYN-PWY","menaquinol-8 biosynthesis","ADOMET-DMK-METHYLTRANSFER-RXN","m2582580515_228_12",100
"m2582580515","PWY0-1477","ethanolamine utilization","ETHAMLY-RXN","m2582580515_158_3",100
"m2582580515","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580515_87_2",100
"m2582580515","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580515_216_0",100
"m2582580515","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580515_75_17",100
"m2582580515","PWY-2161","folate polyglutamylation","FOLYLPOLYGLUTAMATESYNTH-RXN","m2582580515_85_4",80
"m2582580515","PWY-2161","folate polyglutamylation","FORMATETHFLIG-RXN","m2582580515_119_6",80
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_104_7",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_198_6",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_117_3",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_189_2",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_50_3",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_197_4",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_37_6",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_138_7",100
"m2582580515","PWY-5143","long-chain fatty acid activation","RXN-7904","m2582580515_170_16",100
"m2582580515","PWY-1722","formate assimilation into 5,10-methylenetetrahydrofolate","METHENYLTHFCYCLOHYDRO-RXN","m2582580515_241_1",100
"m2582580515","PWY-1722","formate assimilation into 5,10-methylenetetrahydrofolate","FORMATETHFLIG-RXN","m2582580515_119_6",100
"m2582580515","PWY-5704","urea degradation II","UREASE-RXN","m2582580515_227_1",100
