IMGOID,GenomeName,Lake,Taxonomy(README),Taxonomy(GoogleDrive),Genome_Size,Est_Completeness,Genomess_w_>95%_ANI,Carbon_Metapathways,Carbon_IMG,Nitrogen_Meta,Nitrogen_IMG,Sulfur_Meta,Sulfur_IMG,Transporters,Annual_Trend,Motility,Other,,,Operon_check
2582580627,TE02754,TE,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1361355,82.27,2582580705,"NAG, thioadenosine, ethanol, xylose, glycerol, galactose","two carotenoid genes, glucose, galactose, melibiose, stachyose, raffinose, sucrose, cellobiose, glucoside, trehalose, starch/glycogen, maltose","urea_cycle, canavanine_biosynthesis","ammonia_assimilations, one nitrate reductase","thiosulfate, sulfide_oxidation","sulfate_red_ass, alkanesulfonate","xylose, branched amino, amino/amide, alpha-glucoside, arabinogalactan, biotin, carbohydrate, extracellular solute-binding, glycine betaine/proline, iron, LPS transport, molybdate, monosaccharide, phosphate, raffinose/stachyose/melibiose, spermidine/putrescine, thiol reductant",,,Oxidative phosphorylation,,,
2582580675,TH03463,TH,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1214182,76.77,2582580630,mannose,"two carotenoid genes, formate, fructose, glucose, galactose, rhamnose, rhamnulose, raffinose, stachyose, manninotriose, melibiose, sucrose, cellobiose, glucoside, maltose",,ammonia_assimilation,thiosulfate,,"amino acid/amide, biotin, carbohydrate, glycine betaine/proline, iron, iron(III), molybdate, monosaccharide, phosphate, raffinose/stachyose/melibiose, rhamnose, teichoic acid, thiol reductant",,,Oxidative phosphorylation,,,
2582580550,ME02297,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1366118,76.72,none,"thioadenosine, mannose, ethanol, acetoin, maltose, glycolate, mannose, glucose","one carotenoid gene, ","urea_cycle, canavanine_biosynthesis",ammonia_assimilation,thiosulfate,,"ribose, amino acid, biotin, arabinogalactan/maltooligosaccharide, carbohydrate, branched amino, cobalamin, cobalt/nickel, fructose, iron, iron (III), LPS transport, mannose, oligopeptide, peptide/nickel, mannose, phosphate, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580630,TE03207,TE,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1245790,75.56,2582580675,"mannose, rhamnose, melibiose, ethanol, xylose, glycerol, arabinose, galactose","two carotenoid genes, fructose, galactose, glucose, rhamnulose, raffinose, stachyose, melibiose, cellobiose, glucoside, maltose","urea_cycle, canavanine_biosyntheis",ammonia_assimilation,,,"alpha-glucoside, amino acid/amide, biotin, branched amino, carbohydrate, glycine betaine/proline, iron, iron(III), molybdate, raffinose/stachyose/melibiose, rhamnose, thiol reductant",,,Oxidative phosphorylation,,,
2593339190,TE02057v2,TE,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,971617,74.31,2593339186,,"two carotenoid genes, glucose, glucoside, cellobiose, maltose",,ammonia_assimilation,,,"branched amino, xylose, biotin, iron, iron (III), monosaccharide, multiple sugar, phosphate, ribose, teichoic acid, thiamine",,,Oxidative phosphorylation,,,
2582580705,TH00680,TH,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1257796,72.7,2582580627,"mannose, formate","two carotenoid genes, carbon fixation (RuBisCo, one gene), glucose, galactose, galactan, lactose, raffinose, stachyose, melibiose, manninotriose, sucrose, maltose",,"ammonia_assimilation, one nitrite reductase","thiosulfate, sulfide_oxidation",thiosulfate,"branched amino, xylose, alpha-glucoside, amino acid/amide, arabinogalactan/maltooligosaccharide, biotin, carbohydrate, extracellular solute, glycine betaine/proline, iron, LPS transport, molybdate, monosaccharide, phosphate, raffinose/stachyose/melibiose, spermidine/putrescine, techoic acid, thiol reductant ",,,Oxidative phosphorylation,,,
2582580564,ME03119,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1072419,71.12,none,mannose,"two carotenoid genes, maltose, rhamulose, glucose",,ammonia_assimilation,,partial sulfate_red_ass,"arabinogalactan, biotin, branched aminos, carbohydrate, cobalamin, cobalt/nickel, glucose/mannose, peptide/nickel, phosphate, spermidine/putrescine, teichoic acid",,,Oxidative phosphorylation,,,
2582580632,TE03475,TE,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,949240,69.46,none,"xylose, arabinose, glycerol","two carotenoid genes, glucose, galactose, sucrose, cellobiose, glucoside, trehalose, stach/glycogen",,ammonia_assimilation,,,"branched amino, xylose, biotin, iron,carbohydrate, LPS transport, raffinose/stachyose/melibiose, techoic acid",,,Oxidative phosphorylation,,,
2582580575,ME04252,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,1144269,69.31,none,mannose,"two carotenoid genes, glucose, rhamnose, galactose, glycolate",,ammonia_assimilation,,"partial sulfate_red_ass, extracellular alkanesulfonate","ribose, biotin, branched aminos, carbohydrate, glucose/mannose, iron, iron (III), monosaccharide, neutral amino, phosphate, polar amino, rhamnose, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580635,TE04208,TE,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,992136,68.53,none,"thioadenosine, mannose","two carotenoid genes, carbon fixation, glucose, sucrose, maltose",,ammonia_assimilation,,,"biotin, branched amino, carbohydrate, iron, multiple sugar, phosphate, raffinose/stachyose/melibiose, ribose, techoic acid",,,Oxidative phosphorylation,,,
2582580528,ME01363,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,911592,62.71,none,mannose,"Phytoene synthase but no other carotenoids, xylose, UDP-NAG",,ammonia_assimilation,,,"xylose, amino acid/amide, biotin, branched amino, carbohydrate, glycine betaine/proline, iron, monosaccharide, phosphate, spermidine/putrescine, techoic acid",,,Oxidative phosphorylation,,,
2582580608,ME00885,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,866493,61.64,none,melibiose,"two carotenoid genes, glucose, alpha-galactosidase, glycolate, maltose, starch/glycogen",,ammonia_assimilation,,,"xylose, alpha-glucoside, branched amino, carbohydrate, cobalt/nickel, iron, iron(III), monosaccharide, multiple sugar, phosphate, raffinose/stachyose/melibiose, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580657,TH02152,TH,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,845311,61.59,none,"mannose, ethanol, fructose, glucose","one carotenoid genes,","urea_cycle, canavanine_biosynthesis",ammonia_assimilation,,thiosulfate,"ribose, xylose, amino acid/amide, biotin, branched amino, carbohydrate, iron, monosaccharide, sorbitol/mannitol",,,Oxidative phosphorylation,,,
2582580555,ME00283,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,734855,59.7,none,"mannose, glucose",,,,,,"branched aminos, carbohydrate, cobalamin, cobalt/nickel, fructose, iron (III), mannose, phosphate, spermidine/putrescine, techoic acid",,,Oxidative phosphorylation,,,
2582580572,ME03864,ME,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,786155,55.44,none,melibiose,"glucose, maltose, galactose",,ammonia_assimilation,,,"xylose, amino acid, carbohydrate, cobalamin, cobalt/nickel, iron, iron(III), lipooligosaccharide, monosaccharide, phosphate, raffinose/stachylose/melibiose",,,Oxidative phosphorylation,,,
2582580714,TH09906,TH,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,795830,39.5,none,,"glycolate, cellobiose, glucoside",,ammonia_assimilation,,"sulfate_red_ass, thiosulfate","branched amino, peptide/nickel, phosphate, sulfate",,,Oxidative phosphorylation,,,
2593339186,TH03838v2,TH,Actinobacteria;Actinobacteria;[Blank];;;,ACTINOBACTERIA;ACTINOBACTERIA,468462,37.07,2593339190,,"partial Wood-Ljungdahl, glucose, fructan, glucoside, cellobiose",,ammonia_assimilation,,,"xylose, branched amino, iron (III), molybdate, monosaccharide, multiple sugar",,,Some oxidative phosphorylation,,,
2582580544,ME01953,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,2350389,90.6,none,"mannose, melibiose","UDP-NAG, glucose, mannose, lactose, galactose, glycolate, cellobiose, glycogen/starch",,"ammonia_assimilation, one nitrate reductase",,"sulfate_red_ass, taurine, alkanesulfonate","branched amino, amide, biotin, carbohydrate, heme, iron (III), manganese, molybdate, multiple sugar, phosphate, g3p, thiamine",,,Oxidative phosphorylation,,,
2582580631,TE03256,TE,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1750488,85.78,none,"propanoyl-CoA, formate","chitin, fructose, glucose, galactose, stachyose, raffinose, melibiose, sucrose, glucoside, cellobiose",,ammonia_assimilation,,"sulfate_red_ass, taurine, alkanesulfonate, methanesulfonate","amino acid/amide, branched amino, heme, iron, iron(III), LPS transport, phosphate",,,"Oxidative phosphorylation, luciferase-like monooxygenase",,,
2582580517,ME01091,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1782609,84.14,none,formate,Wood-Ljungdahl? (maybe just carbon monoxide + folate metabolism),"urea_cycle, canavine_biosynthesis",ammonia_assimilation,,"alkane sulfonate, taurine","biotin, iron complex, iron(III), iron/zinc/copper, manganese/iron, molybdate, phsophae, spermidine/putrescine, thiamine, zinc",,,"Oxidative phosphorylation, coenzyme 420 biosynthesis, lots of acetyl-CoA",,,
2582580671,TH03219,TH,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES,1170081,80.73,2582580617,"ethanol, acetoin","chitobiose, fructose, glucose, glucoside, cellobiose",,ammonia_assimilation,,"sulfate_red_ass, tetrathionate","amino acid/amide, biotin, branched amino, extracellular solute, heme, iron, monosaccharide, oligopeptide/dipeptide, phosphate, hydroxymethylpyrimidine, sulfate",,,Oxidative phosphorylation,,,
2582580539,ME01719,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1793743,80.69,none,formate,"Wood-Ljungdahl, acetate, galactose, UDP-NAG, cellobiose, ",,,,"taurine, alkanesulfonate, sulf_red_ass","amino acid/amide, biotin, branched amino, heme, iron, iron/zinc/copper, manganese, phosphate, molybdate, spermidine/putrescine, thiamine",,,,,,
2593339185,TH03765v2,TH,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1315659,76.07,2582580634,citrate,"glucose, galactose, glycolate, glucoside, cellobiose, trehalose",,ammonia_assimilation,,"taurine, sulfate_red_ass","amino acid/amide, branched amino, carbohydrate, heme, iron, LPS transport, phosphate, sn-glycerol 3-phosphate, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580565,ME03163,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1785483,73.79,none,"lactose, citrate, melibiose, acetoin, formate","Wood-Ljungdahl, glucose, galactose, glycolate, cellobiose","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis",ammonia_assimilation,sulfite_oxidation,"sulfate_red_ass, taurine","amino aicd/amide, biotin, branched amino, heme export, iron, iron(III), iron/zinc/copper, molybdate, monosaccharide, phosphate, peptide/nickel, spermidine/putrescine, ribose",,,Oxidative phosphorylation,,,
2582580628,TE02973,TE,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1010358,72.41,2582580670,mannose,"glucose, glucoside, cellobiose, glucoside",,ammonia_assimilation,,,"amino acid/amide, heme, iron, iron(III)",,,Oxidative phosphorylation,,,
2582580554,ME02729,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1671027,71,none,,"galactose, melibiose, lactose, glucose, mannose",,ammonia_assimilation,thiosulfate,"alkane sulfonate, one sulfate_red_ass protein","biotin, iron, iron(III), iron/zinc/copper, manganese/zinc/iron, molybdate, phosphate, spermidine/putrescine, taurine, thiamine, zinc",,,Oxidative phosphorylation,,,
2582580634,TE04163,TE,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1267473,69.62,2593339185,citrate,"glucose, glucoside, cellobiose, glucoside, galactose, glycolate, cellobiose, glucoside",,ammonia_assimilation,,"sulfate_red_ass, taurine","amino acid/amide, branched amino, carbohydrate, energy-coupling factor, LPS transport, phosphate, sn-glycerol 3-phosphate, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580520,ME11576,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1204534,66.86,none,"citrate, xylose, melibiose","Two carotenoid synthesis genes, carbon monoxide dehydrogenase?, UDP-NAG, galactose, ",,ammonia_assimilation,,,"xylose, arabinogalactan/maltooligosaccharide, branched aminos, carbohydrate, dipeptide, heme export, iron,iron (III), manganese, molybdate, multiple sugars, peptide/nickel, phosphate, spermidine/putrescine, thiamine",,,Oxidativephosphorylation,,,
2582580530,ME14260,ME,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACIDIMICROBIALES;ACIDIMICROBIACEAE,1498931,66.78,none,formate,"one carotenoid gene, UDP-NAG, glucose, galactose, mannose, cellobiose",,"ammonia_assimilation, transport for nitrate/nitrite but no pathway",,,"biotin, heme, iron, iron/zinc/copper, molybdate, nitrate/nitrite, peptide/nickel, phosphate, spermidine/putrescine, thiamine",,,Oxidative phosphorylation,,,
2582580553,ME02538,ME,Actinobacteria;Actinobacteria;Actinomycetales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACTINOMYCETALES;MICROBACTERIACEAE,1050638,65.74,none,,"maltose, cellobiose",,ammonia_assimilation,,,"alpha-glucoside, arabinogalactan/maltooligosaccharide, biotin, carbohydrate, cellobiose, iron, iron(III), LPS transport, monosaccharide, phosphate, spermidine/putrescine, thiamine",,,Oxidative phosphorylation,,,
2582580595,ME06647,ME,Actinobacteria;Actinobacteria;Actinomycetales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACTINOMYCETALES;CATENULIS;PORACEAE,906713,58.68,none,formate,glucose,,"ammonia_assimilation, one nitrate reductase",sulfide_oxidation,sulfide_oxidation,"biotin, cobalt/nickel, gluatmate, glycine, iron, oligopeptide, phosphate, spermidine/putrescine",,,Oxidative phophorylation,,,
2582580513,ME10152,ME,Actinobacteria;Actinobacteria;Actinomycetales;;;,ACTINOBACTERIA;ACTINOBACTERIA;ACTINOMYCETALES;MYCOBACTERIACEAE,2093635,57.05,none,citrate,"Carotenoid synthesis, fructose, mannose, propanoate",,ammonia_assimilation,thiosulfate,sulfate_red_ass,"iron(III), phosphate, phospholipid, spermidine/putrescine, sulfate, zinc, fructose, NAG, PEP-protein",,,,,,
2582580680,TH03815,TH,Actinobacteria;Actinobacteria;Solirubrobacterales;;;,ACTINOBACTERIA;ACTINOBACTERIA;SOLIRUBROBACTERALES,2533346,75.14,none,fructose,"Wood-Ljungdahl (complete!), trimethylamine, formate, glyoxylate, glucose, sucrose, stachyose, raffinose, manninotriose, melibiose, cellulose, trehalose",nitrogen_fixation,"nitrogen_fixation, ammonia_assimilation, nitronate",sulfide_oxidation,,"bacitracin, biotin, carbohydrate, cobalt/nickel, heme, iron, lipoprotein release, molybdate, oligopeptide, peptide/nickel, phosphate, polar amino acid, taurine",,,Oxidative phosphorylation,,,borderline.n.fix
2582580599,ME06813,ME,Bacteroidetes;[Blank];[Blank];;;,BACTEROIDETES,3400639,89.34,none,ethanol,"three carotenoid genes, chitobiose",putrescine_biosynthesis,ammonia_assimilation,,sulfate_red_ass,"heme, iron, LPS export, lipoprotein release, peptide/nickel, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580582,ME05344,ME,Bacteroidetes;[Blank];[Blank];;;,BACTEROIDETES,1533163,81.61,none,maltose,"chitobiose, glycolate, cellobiose, glucose, some carotenoid synthesis",,ammonia_assimilation,,,"heme, LPS export, lipoprotein release, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580613,ME09495,ME,Bacteroidetes;[Blank];[Blank];;;,BACTEROIDETES,2153459,79.94,none,"ethanol, formate","two carotenoid genes, chitobiose, glycolate, maltose",putrescine_biosynthesis,,thiosulfate,,"heme, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580586,ME05513,ME,Bacteroidetes;[Blank];[Blank];;;,BACTEROIDETES,2170171,66.79,none,ethanol,Some carotenoid genes,putrescine_biosynthesis,ammonia_assimilation,,,"iron, LPS export, LPS transport, lipoprotein release, peptide/nickel, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580673,TH03311,TH,Bacteroidetes;Bacteroidia;Bacteroidales;;;,BACTEROIDETES;BACTEROIDIA;BACTEROIDALES;PORPHYROMONADACEAE,3778915,97.86,none,"citrate, melibiose, fructuronate, maltose, arabinose","chitobiose, glucosaminide, fructose, arabinose, glucose, galactose, mannose, fructan, rhamnose, rhamnulose, fucose, fuculose, raffinose, stachyose, manninotriose, melibose, sucrose, glucoside, cellobiose, pectin, starch/glycogen, maltose",,ammonia_assimilation,sulfide_oxidation,thiosulfate,"iron, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol, zinc",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580702,TH06286,TH,Bacteroidetes;Bacteroidia;Bacteroidales;;;,BACTEROIDETES;BACTEROIDIA;BACTEROIDALES,5154715,90.91,none,"lactose, citrate, thioadenosine, mannose, sucrose, rhamnose, melibiose, glycerol fructuronate, propanoyl-CoA, acetoin, arabinose, galactose, formate, chitin","three carotenoid genes, partial Wood-Ljungdahl, acetate, chitobiose, fructose, glucose, galactose, mannose, sorbitol, fructan, fucose, fuculose, rhamnose, rhamnulose, raffinose, stachyose, sucrose, manninotriose, melibiose, galactan, lactose, glycerate, cellulose, cellobiose, glucoside, starch/glycogen, maltose","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis","nitric oxide reductase, ammonia_assimilation","sulfate_red_ass, tetrathionate_red","tetrathionate, sulfate_red_ass","iron, LPS export, lipoprotein release, macrolidde, phosphate, phospholipid/cholesterol, zinc",,a few chemotaxis protines,Oxidative phosphorylation,,,
2593339179,TH02086v2,TH,Bacteroidetes;Bacteroidia;Bacteroidales;;;,BACTEROIDETES;BACTEROIDIA;BACTEROIDALES,3680027,72.41,none,"lactose, citrate, thioadenosine, mannose, ethanol, rhamnose, melibiose, xylose, fructuronate, propanoyl-CoA, acetoin, maltose, arabinose, galactose, mannitol","three carotenoid biosynthesis genes, chitobiose, D-glucoseaminide, fructose, glucose, mannose, fructan, rhamnulose, rhamnose, galactose, raffinose, stachyose, manninotriose, melibiose, xylose, sucrose, glucoside, cellulose, cellobiose, starch/glycogen, maltose ","putrescine_biosynthesis, spermidine_biosynthesis","ammonia_assimilation, one nitric oxide reductase","thiosulfate, sulfide_oxidation","partial sulfate_red_ass, thiosulfate","xylose, iron, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol, zinc",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580708,TH07934,TH,Bacteroidetes;Bacteroidia;Bacteroidales;;;,BACTEROIDETES;BACTEROIDIA;BACTEROIDALES;PORPHYROMONADACEAE,2314650,64.1,none,"lactose, melibiose","chitobiose, glucose, rhamnose, rhamnulose, lactose, galactan, raffinose, stachyose, manninotriose, melibiose, glycerate, glucoside, cellobiose, starch/glycogen, maltose, trehalose",,ammonia_assimilation,,,"permease, LPS transport, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
