SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
m2236347068	PWY-7388	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	9	5	6
m2236347068	ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	3	2	3
m2236347068	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	4	3	3
m2236347068	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	3	6
m2236347068	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	5	6
m2236347068	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	3
m2236347068	NAGLIPASYN-PWY	lipid IVA biosynthesis	6	2	2
m2236347068	PWY-7382	lipoate biosynthesis and incorporation (yeast)	7	3	1
m2236347068	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	9	5	6
m2236347068	TYRSYN	L-tyrosine biosynthesis I	3	1	1
m2236347068	PWY-6303	methyl indole-3-acetate interconversion	2	1	1
m2236347068	PWY-6902	chitin degradation II	5	2	2
m2236347068	PWY-702	L-methionine biosynthesis II	6	2	2
m2236347068	SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	1	1
m2236347068	PWY-5344	L-homocysteine biosynthesis	2	1	1
m2236347068	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	4	5
m2236347068	GLYSYN-PWY	glycine biosynthesis I	1	1	3
m2236347068	SERSYN-PWY	L-serine biosynthesis	3	3	5
m2236347069	PANTO-PWY	phosphopantothenate biosynthesis I	4	1	1
m2236347069	PWY-46	putrescine biosynthesis III	1	1	1
m2236347069	PWY0-1479	tRNA processing	10	4	3
m2236347069	PWY-5041	S-adenosyl-L-methionine cycle II	4	3	3
m2236347069	PWY-5669	phosphatidylethanolamine biosynthesis I	2	2	2
m2236347069	HOMOSER-THRESYN-PWY	L-threonine biosynthesis	2	2	2
m2236347069	PWY66-21	ethanol degradation II	3	2	3
m2236347069	MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	2	2	2
m2236347069	PWY66-162	ethanol degradation IV	3	2	3
m2236347069	GLUCONEO-PWY	gluconeogenesis I	13	9	9
m2236347069	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	9	9	9
m2236347069	PWY0-1313	acetate conversion to acetyl-CoA	1	1	2
m2236347069	PWY-5686	UMP biosynthesis	6	2	2
m2236347069	GLYOXYLATE-BYPASS	glyoxylate cycle	6	5	4
m2236347069	PWY-7204	pyridoxal 5-phosphate salvage II (plants)	9	5	2
m2236347069	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	3	6
m2236347069	PWY-7388	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	9	6	7
m2236347069	PWY-5076	L-leucine degradation III	3	2	2
m2236347069	PWY-5078	L-isoleucine degradation II	3	2	2
m2236347069	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	5	6
m2236347069	GLYOXDEG-PWY	glycolate and glyoxylate degradation II	2	2	4
m2236347069	PWY-6164	3-dehydroquinate biosynthesis I	2	2	3
m2236347069	ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	3	2	2
m2236347069	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	5	3	5
m2236347069	PWY-5703	urea degradation I	2	1	2
m2236347069	PWY-4081	glutathione-peroxide redox reactions	3	1	1
m2236347069	PWY-702	L-methionine biosynthesis II	6	2	2
m2236347069	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7	4	5
m2236347069	PWY-6902	chitin degradation II	5	2	1
m2236347069	PWY-7663	gondoate biosynthesis (anaerobic)	4	4	4
m2236347069	PWY-6936	seleno-amino acid biosynthesis	5	1	1
m2236347069	SERSYN-PWY	L-serine biosynthesis	3	3	4
m2236347069	NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	2	2	5
m2236347069	PWY-6333	acetaldehyde biosynthesis I	1	1	1
m2236347069	PWY-6695	oxalate degradation II	3	1	1
m2236347069	PWY-7560	methylerythritol phosphate pathway II	9	6	6
m2236347069	PWY-5082	L-methionine degradation III	3	1	1
m2236347069	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	5	4
m2236347069	PWY-5162	2-oxopentenoate degradation	3	1	1
m2236347069	DETOX1-PWY	superoxide radicals degradation	2	2	2
m2236347069	P183-PWY	catechol degradation to 2-oxopent-4-enoate I	2	1	1
m2236347069	PWY-5344	L-homocysteine biosynthesis	2	1	1
m2236347069	DAPLYSINESYN-PWY	L-lysine biosynthesis I	9	7	7
m2236347069	NAGLIPASYN-PWY	lipid IVA biosynthesis	6	4	4
m2236347069	TRPSYN-PWY	L-tryptophan biosynthesis	6	5	6
m2236347069	PWY-5	canavanine biosynthesis	4	3	3
m2236347069	PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	1	1	2
m2236347069	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	12	3	2
m2236347069	PWY-5785	"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"	2	2	3
m2236347069	TRNA-CHARGING-PWY	tRNA charging	21	18	19
m2236347069	PWY-6303	methyl indole-3-acetate interconversion	2	1	1
m2236347069	PWY0-42	2-methylcitrate cycle I	5	3	3
m2236347069	NONMEVIPP-PWY	methylerythritol phosphate pathway I	9	6	6
m2236347069	GLUTATHIONESYN-PWY	glutathione biosynthesis	2	2	2
m2236347069	PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	1
m2236347069	PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	3	1	1
m2236347069	CITRULLINE-DEG-PWY	L-citrulline degradation	2	1	1
m2236347069	PWY0-1264	biotin-carboxyl carrier protein assembly	4	3	4
m2236347069	PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	8	4	3
m2236347069	PWY-6700	queuosine biosynthesis	4	1	1
m2236347069	PWY-6019	pseudouridine degradation	2	1	4
m2236347069	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	4	3
m2236347069	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	5	3	4
m2236347069	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2236347069	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	5	5
m2236347069	PWY0-1261	anhydromuropeptides recycling	10	5	7
m2236347069	PWY-5971	palmitate biosynthesis II (bacteria and plants)	31	29	5
m2236347069	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	4	4
m2236347069	PWY-5143	long-chain fatty acid activation	1	1	1
m2236347069	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	9	6	7
m2236347069	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	1	1
m2236347069	PWY-5458	methylglyoxal degradation V	3	1	1
m2236347069	PWY-1881	formate oxidation to CO2	1	1	1
m2236347069	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5	4	5
m2236347069	PWY-4621	arsenate detoxification II (glutaredoxin)	2	1	1
m2236347069	PWY-6614	tetrahydrofolate biosynthesis	3	2	2
m2236347069	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	5	6
m2236347069	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	2	2
m2236347069	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	2	2
m2236347069	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2236347069	PWY-3781	aerobic respiration I (cytochrome c)	4	4	26
m2236347069	PWY-1722	"formate assimilation into 5,10-methylenetetrahydrofolate"	3	2	2
m2236347069	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	12	8	7
m2236347069	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	4	4
m2236347069	PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	2	1	1
m2236347069	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	3	3
m2236347069	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	4	2	2
m2236347069	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	9	8	4
m2236347069	PWY-2301	myo-inositol biosynthesis	2	1	1
m2236347069	PWY-6363	"D-myo-inositol (1,4,5)-trisphosphate degradation"	3	1	1
m2236347069	PWY-7382	lipoate biosynthesis and incorporation (yeast)	7	3	1
m2236347069	P21-PWY	pentose phosphate pathway (partial)	3	3	2
m2236347069	LEUSYN-PWY	L-leucine biosynthesis	6	5	5
m2236347069	PWY-6124	inosine-5-phosphate biosynthesis II	5	2	3
m2236347069	HISTSYN-PWY	L-histidine biosynthesis	10	7	7
m2236347069	PWY-7344	UDP-D-galactose biosynthesis	1	1	1
m2236347069	KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I	2	1	1
m2236347069	PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	2	2	2
m2236347069	VALSYN-PWY	L-valine biosynthesis	4	4	5
m2236347069	PWY-5083	NAD/NADH phosphorylation and dephosphorylation	6	3	20
m2236347069	PWY-7158	L-phenylalanine degradation V	3	1	1
m2236347069	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	1
m2236347069	PWY0-1021	L-alanine biosynthesis III	1	1	1
m2236347069	PWY-5783	octaprenyl diphosphate biosynthesis	1	1	2
m2236347069	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	10	4	1
m2236347069	PWY-5839	menaquinol-7 biosynthesis	2	1	1
m2236347069	PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	3	1	1
m2236347069	GLUTSYN-PWY	L-glutamate biosynthesis I	1	1	7
m2236347069	PWY0-662	PRPP biosynthesis I	1	1	1
m2236347069	GLUTAMINEFUM-PWY	L-glutamine degradation II	1	1	7
m2236347069	PWY-5849	menaquinol-6 biosynthesis	1	1	1
m2236347069	ASPARTATESYN-PWY	L-aspartate biosynthesis	1	1	1
m2236347069	HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	4	2	2
m2236347069	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	4	2	2
m2236347069	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	1
m2236347069	GLNSYN-PWY	L-glutamine biosynthesis I	1	1	2
m2236347069	PWY-6611	adenine and adenosine salvage V	3	1	1
m2236347069	ASPARTATE-DEG1-PWY	L-aspartate degradation I	1	1	1
m2236347069	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	1	1
m2236347069	PWY-7112	4-hydroxy-2-nonenal detoxification	4	1	2
m2236347069	PWY-6613	"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	2	1	1
m2236347069	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	4	3	5
m2236347069	PWY-7176	UTP and CTP de novo biosynthesis	3	3	3
m2236347069	PWY-7376	"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"	13	1	2
m2236347069	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	4	3	5
m2236347069	SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	1	1
m2236347069	PWY-7205	CMP phosphorylation	2	2	2
m2236347069	PWY-6654	phosphopantothenate biosynthesis III	4	1	1
m2236347069	TCA	TCA cycle I (prokaryotic)	10	9	11
m2236347069	ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	3	2	2
m2236347069	PWY-5905	hypusine biosynthesis	5	4	1
m2236661000	PWY-5669	phosphatidylethanolamine biosynthesis I	2	2	2
m2236661000	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	4	2	2
m2236661000	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	1	1
m2236661000	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	2	2
m2236661000	NAGLIPASYN-PWY	lipid IVA biosynthesis	6	2	2
m2236661000	PWY-6613	"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	2	2	2
m2236661000	PWY-1722	"formate assimilation into 5,10-methylenetetrahydrofolate"	3	3	2
m2236661000	PWY-7343	UDP-glucose biosynthesis	2	2	3
m2236661000	PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	2	1	1
m2236661000	PWY-6654	phosphopantothenate biosynthesis III	4	1	1
m2236661000	PWY-6910	hydroxymethylpyrimidine salvage	2	2	1
m2236661000	PWY-2301	myo-inositol biosynthesis	2	1	1
m2236661000	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	1
m2236661000	PWY-5	canavanine biosynthesis	4	2	2
m2236661000	PWY-6124	inosine-5-phosphate biosynthesis II	5	2	2
m2236661000	PWY-6936	seleno-amino acid biosynthesis	5	1	2
m2236661000	PWY0-461	L-lysine degradation I	1	1	1
m2236661000	PWY-4984	urea cycle	5	3	4
m2236661000	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	9	3	4
m2236661000	PWY-5097	L-lysine biosynthesis VI	7	5	7
m2236661000	CYSTSYN-PWY	L-cysteine biosynthesis I	2	1	2
m2236661000	PWY-46	putrescine biosynthesis III	1	1	2
m2236661000	PWY-5905	hypusine biosynthesis	5	4	1
m2236661000	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	1	1
m2236661000	PWY0-1021	L-alanine biosynthesis III	1	1	1
m2236661000	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	10	4	1
m2236661000	PANTO-PWY	phosphopantothenate biosynthesis I	4	1	1
m2236661000	PWY0-1479	tRNA processing	10	3	2
m2236661000	GLYSYN-PWY	glycine biosynthesis I	1	1	1
m2236661000	PWY-7417	"phospholipid remodeling (phosphatidate, yeast)"	2	1	1
m2236661000	PWY-7587	oleate biosynthesis III (cyanobacteria)	3	1	1
m2236661000	PWY-7589	palmitoleate biosynthesis III (cyanobacteria)	2	1	1
m2236661000	GLUTAMINDEG-PWY	L-glutamine degradation I	1	1	2
m2236661000	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5	3	4
m2236661000	PWY-5686	UMP biosynthesis	6	4	6
m2236661000	LEUSYN-PWY	L-leucine biosynthesis	6	5	6
m2236661000	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	1	1
m2236661000	PROSYN-PWY	L-proline biosynthesis I	4	3	3
m2236661000	ASPARTATESYN-PWY	L-aspartate biosynthesis	1	1	3
m2236661000	ASPARTATE-DEG1-PWY	L-aspartate degradation I	1	1	3
m2236661000	PWY0-1241	ADP-L-glycero-beta-D-manno-heptose biosynthesis	5	1	1
m2236661000	PYRIDOXSYN-PWY	pyridoxal 5-phosphate biosynthesis I	8	3	3
m2236661000	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	1	2
m2236661000	TRNA-CHARGING-PWY	tRNA charging	21	9	9
m2236661000	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	1	1
m2236661000	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	2	2
m2236661000	PWY-5143	long-chain fatty acid activation	1	1	1
m2236661000	PWY-7193	pyrimidine ribonucleosides salvage I	3	2	1
m2236661000	PWY5F9-12	biphenyl degradation	5	1	1
m2236661000	SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	1	1
m2236661000	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	2
m2236661000	PWY-5344	L-homocysteine biosynthesis	2	2	2
m2236661000	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2236661000	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	6	6
m2236661000	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7	4	6
m2236661000	PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	1	1	1
m2236661000	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	4	3
m2236661000	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	2	3
m2236661000	PWY-7112	4-hydroxy-2-nonenal detoxification	4	1	2
m2236661000	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	4	2	3
m2236661000	PWY-6619	adenine and adenosine salvage VI	1	1	1
m2236661000	HISTSYN-PWY	L-histidine biosynthesis	10	6	6
m2236661000	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	4	2	3
m2236661000	PWY-6733	sporopollenin precursors biosynthesis	18	5	2
m2236661000	CITRULLINE-DEG-PWY	L-citrulline degradation	2	1	1
m2236661000	KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I	2	1	1
m2236661000	VALSYN-PWY	L-valine biosynthesis	4	4	6
m2236661000	PWY-5329	L-cysteine degradation III	2	1	1
m2236661000	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	1	1
m2236661000	PWY-5350	thiosulfate disproportionation III (rhodanese)	1	1	1
m2236661000	GLUTATHIONESYN-PWY	glutathione biosynthesis	2	1	1
m2236661000	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	5	2	2
m2236661000	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	2
m2236661000	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	1
m2236661000	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2236661000	PWY0-501	lipoate biosynthesis and incorporation I	2	2	2
m2236661000	PWY0-1313	acetate conversion to acetyl-CoA	1	1	1
m2236661001	PWY-0	putrescine degradation III	4	2	5
m2236661001	PWY-6342	noradrenaline and adrenaline degradation	13	8	7
m2236661001	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	2	3
m2236661001	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	4	6
m2236661001	PWY-6019	pseudouridine degradation	2	1	1
m2236661001	IDNCAT-PWY	L-idonate degradation	3	1	1
m2236661001	CITRULLINE-DEG-PWY	L-citrulline degradation	2	1	1
m2236661001	HISDEG-PWY	L-histidine degradation I	4	4	7
m2236661001	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	9	7	7
m2236661001	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2236661001	GLUTORN-PWY	L-ornithine biosynthesis I	5	3	3
m2236661001	PWY-7242	D-fructuronate degradation	4	1	1
m2236661001	PWY-5973	cis-vaccenate biosynthesis	5	3	4
m2236661001	PWY0-1264	biotin-carboxyl carrier protein assembly	4	2	1
m2236661001	ASPARTATESYN-PWY	L-aspartate biosynthesis	1	1	1
m2236661001	ASPARTATE-DEG1-PWY	L-aspartate degradation I	1	1	1
m2236661001	PWY-5250	methanogenesis from trimethylamine	2	1	1
m2236661001	PWY-6318	"L-phenylalanine degradation IV (mammalian, via side chain)"	9	2	2
m2236661001	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	4	5
m2236661001	PWY-6611	adenine and adenosine salvage V	3	1	1
m2236661001	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	1	1
m2236661001	PWY-901	methylglyoxal degradation II	2	1	1
m2236661001	PWY-5785	"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"	2	1	1
m2236661001	GLUTAMATE-DEG1-PWY	L-glutamate degradation I	1	1	1
m2236661001	PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	6
m2236661001	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	2	2
m2236661001	PWY3O-450	phosphatidylcholine biosynthesis I	3	1	1
m2236661001	PWY-6704	L-ascorbate degradation IV	5	1	1
m2236661001	PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)	3	2	2
m2236661001	PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	2	2	2
m2236661001	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta-ketoadipate	4	1	2
m2236661001	PWY-6333	acetaldehyde biosynthesis I	1	1	2
m2236661001	PWY-3661-1	glycine betaine degradation II (mammalian)	4	1	1
m2236661001	PWY-5082	L-methionine degradation III	3	1	2
m2236661001	BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I	2	1	1
m2236661001	PWY-6048	methylthiopropanoate degradation I (cleavage)	3	1	1
m2236661001	PWY-6536	4-aminobutanoate degradation III	2	1	1
m2236661001	PWY-5120	geranylgeranyl diphosphate biosynthesis	1	1	1
m2236661001	PWY0-461	L-lysine degradation I	1	1	2
m2236661001	PWY0-1021	L-alanine biosynthesis III	1	1	2
m2236661001	PWY-6654	phosphopantothenate biosynthesis III	4	1	1
m2236661001	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	10	4	2
m2236661001	LEUSYN-PWY	L-leucine biosynthesis	6	5	5
m2236661001	TRNA-CHARGING-PWY	tRNA charging	21	7	8
m2236661001	PANTO-PWY	phosphopantothenate biosynthesis I	4	1	1
m2236661001	VALSYN-PWY	L-valine biosynthesis	4	4	7
m2236661001	PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	7	3	3
m2236661001	PWY1-2	L-alanine degradation IV	1	1	1
m2236661001	CYSTSYN-PWY	L-cysteine biosynthesis I	2	2	3
m2236661001	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	2	1
m2236661001	PWY-6936	seleno-amino acid biosynthesis	5	2	3
m2236661001	PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	5	2	5
m2236661001	GLUTAMINDEG-PWY	L-glutamine degradation I	1	1	2
m2236661001	PWY-7176	UTP and CTP de novo biosynthesis	3	2	3
m2236661001	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	1	3
m2236661001	PWY-5076	L-leucine degradation III	3	2	3
m2236661001	PWY-5078	L-isoleucine degradation II	3	2	3
m2236661001	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2236661001	NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	2	2	2
m2236661001	GLNSYN-PWY	L-glutamine biosynthesis I	1	1	1
m2236661001	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7	4	7
m2236661001	PWY-6124	inosine-5-phosphate biosynthesis II	5	1	2
m2236661001	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	2	2
m2236661001	PWY-7205	CMP phosphorylation	2	1	1
m2236661001	PWY-5	canavanine biosynthesis	4	3	3
m2236661001	PWY-6700	queuosine biosynthesis	4	1	1
m2236661001	PWY-7589	palmitoleate biosynthesis III (cyanobacteria)	2	1	1
